station_id,n_bins,true_mean,pred_no_imd_mean,pred_imd_mean,true_total,pred_no_imd_total,pred_imd_total,fold
S32046,9279,1.930703739627115,2.393767798780408,1.6649357647442733,17915,22211.771404883406,15448.938961062111,1
S32055,2708,1.4449778434268834,2.564225569714842,1.7735677472542086,3913,6943.922842787792,4802.821459564397,1
T32012,839,1.2657926102502979,2.684408575358849,1.7054036365422558,1062,2252.218794726074,1430.8336510589527,1
T32013,212,1.3349056603773586,2.648529011368071,1.4988296433910573,283,561.488150410031,317.75188439890417,1
T32015,486,1.2551440329218106,2.450536488902398,1.4979631765494914,610,1190.9607336065656,728.0101038030529,1
T32018,1684,1.9560570071258907,2.611112531140496,1.5892676475638943,3294,4397.113502440595,2676.326718497598,1
V32006,1871,1.30251202565473,2.5247674738229318,1.289640726378396,2437,4723.839943522706,2412.917799053979,1
V32015,2623,1.1955775829203203,2.448420998489334,1.0857712549426315,3136,6422.2082790375225,2847.9780017145226,1
V32016,2452,1.223083197389886,2.524307991784212,1.3717797435153858,2999,6189.603195854887,3363.6039310997257,1
X32999,709,1.0564174894217206,2.779799474150151,2.7922343726237555,749,1970.877827172457,1979.6941701902426,1
Z32999,320,1.140625,2.611882584905614,1.1902056968732442,365,835.8024271697965,380.86582299943814,1
A32002,17485,5.355218758936231,2.1977084376213583,1.714567001263441,93636,38426.93203180945,29979.204017091266,2
A32003,13165,3.295936194454994,2.3308902652858983,2.5500970868614057,43391,30686.17034248885,33572.02814853041,2
A32009,12764,2.5321215919774365,2.3071736584461022,2.673324179315795,32320,29448.76457640605,34122.30982478681,2
A32028,3458,1.290052053209948,2.387113014929384,1.3532289489675102,4461,8254.63680562581,4679.46570552965,2
A32033,3659,1.426619294889314,2.484733816353261,1.7303164271230458,5220,9091.641034036582,6331.227806843224,2
A32040,11175,2.0894854586129754,2.3369865637232503,1.7469170560378482,23350,26115.82484960732,19521.798101222954,2
B32002,17059,4.894014889501143,2.205125530445749,3.900214792253924,83487,37617.23642387403,66533.76414105968,2
B32008,14655,4.09655407710679,2.291387653082256,2.733741599566818,60035,33580.286055920464,40062.98314165172,2
B32012,10046,2.718992633884133,2.400147729765287,6.517869611461974,27315,24111.884093222074,65478.518116746985,2
B32014,10240,2.30537109375,2.390678508564738,1.7197622511338342,23607,24480.54792770292,17610.36545161046,2
B32018,16538,4.928346837586165,2.2306868728060167,4.897409490683796,81505,36891.099502465906,80993.35815692862,2
B32023,6310,1.5572107765451664,2.3697203749919122,1.31737472080033,9826,14952.935566198967,8312.634488250082,2
B32028,2658,1.1738148984198646,2.3729460294264926,1.2970358230316092,3120,6307.290546215617,3447.5212176180175,2
B32029,2544,1.2181603773584906,2.4381410871909712,1.234860767866214,3099,6202.630925813831,3141.4857934516485,2
B32038,3122,1.4301729660474054,2.4158956691521207,1.2936500639163577,4465,7542.426279092921,4038.775499546869,2
B32058,13462,3.280418957064329,2.300312776311529,2.1247628181555345,44161,30966.810594705807,28603.557058009806,2
C32006,15228,3.716509062253743,2.256455916961407,2.771399113928819,56595,34361.31070348831,42202.86570690806,2
C32009,7414,1.719719449689776,2.4309546303108736,2.336453706831259,12750,18023.097629124815,17322.467782446955,2
C32039,549,1.1948998178506376,2.511987819872386,1.4252515222436382,656,1379.0813131099399,782.4630857117573,2
C32046,2381,1.2095758084838304,2.431243699682205,1.2719797375732649,2880,5788.79124894333,3028.583755161944,2
C32051,7545,2.23843605036448,2.44278028200577,1.7077586878532973,16889,18430.77722773353,12885.039299853128,2
C32053,10352,2.0736089644513136,2.356674477266128,1.9727918836210172,21466,24396.294188658958,20422.34157924477,2
C32057,14629,2.925148677284845,2.2627675397277485,2.765490997616388,42792,33102.026338677235,40456.36780413014,2
C32060,12126,2.3130463466930564,2.319247647179926,2.7703606432191767,28048,28123.196969703782,33593.39315967574,2
C32067,8736,2.5780677655677655,2.478963513855547,2.107147041575636,22522,21656.225257042057,18408.03655520476,2
C32078,1544,1.221502590673575,2.4807111807592914,1.393314238628976,1886,3830.218063092346,2151.277184443139,2
