station_id,n_bins,true_mean,pred_no_imd_mean,pred_imd_mean,true_total,pred_no_imd_total,pred_imd_total,fold
SF-S22-1,15598,1.9687139376843186,1.9469201429595429,1.211533263528776,30708,30368.06038988295,18897.49584452185,1
SF-S30,3899,1.6578609899974353,1.9754508182706119,1.4961355110830226,6464,7702.2827404371155,5833.432357712705,1
SF-T27,1432,1.1396648044692737,1.85830377834997,1.1120137005331632,1632,2661.091010597157,1592.4036191634896,1
SF-W19,7254,1.4153570443893024,2.035525149570461,1.2614415585674015,10267,14765.699434984126,9150.49706584793,1
SF-W19-2,2729,1.1788200806156102,2.051188476890716,1.397662352677092,3217,5597.693353434764,3814.220560455784,1
SF-Y14,2051,1.159434422233057,2.030777053342201,1.766040575998366,2378,4165.123736404854,3622.1492213726488,1
SF-Y25,1246,1.1837881219903692,2.143314753489279,1.199951832622037,1475,2670.5701828476417,1495.1399834470583,1
SF-Y27,1349,1.1037805782060786,2.0040364180091936,1.3489691640506107,1489,2703.445127894402,1819.7594023042739,1
SF-Z28,1542,1.109597924773022,1.9936293517124852,1.433027409554104,1711,3074.1764603406523,2209.7282655324284,1
SJ-H10,1103,1.1677243880326382,2.0886593683289916,1.4901719554648045,1288,2303.7912832668776,1643.6596668776795,1
SJ-H11,1243,1.236524537409493,1.9944534308817723,1.3462624235674743,1537,2479.105614586043,1673.4041924943706,1
SJ-H12,1417,1.1820748059280168,1.9382518436005305,1.1756922648986128,1675,2746.5028623819517,1665.9559393613342,1
SJ-I10,1554,1.1833976833976834,1.9983911358402404,1.1211737170464013,1839,3105.4998250957337,1742.3039562901076,1
SJ-I14,356,1.2191011235955056,1.9436828309456016,1.2076611105776291,434,691.9510878166342,429.927355365636,1
SJ-M11-1,4205,1.3438763376932223,1.9508983018292918,1.4457654728947262,5651,8203.527359192172,6079.443813522324,1
SJ-M4,2199,1.3310595725329695,1.898598284299195,1.212965359062597,2927,4175.01762717393,2667.310824578651,1
SJ-M8-2,838,1.1992840095465394,2.0192006828087488,1.7460046298783929,1005,1692.0901721937316,1463.1518798380932,1
SJ-M9-2,3110,1.3061093247588424,1.958048518303984,2.2239069789134214,4062,6089.53089192539,6916.35070442074,1
SJ-N14,1084,1.2066420664206643,1.9919380821305348,1.1412514262629756,1308,2159.2608810294996,1237.1165460690656,1
SJ-N5,3222,1.3743016759776536,1.9847725860487646,1.1678570869792795,4428,6394.93727224912,3762.8355342472382,1
SJ-N7,653,1.2756508422664625,1.9420041185783634,1.13242819109517,833,1268.1286894316713,739.4756087851459,1
SJ-P8,467,1.0899357601713062,2.0234846079775135,1.2003064759808206,509,944.9673119254987,560.5431242830432,1
SJ-R11,1353,1.2668144863266815,1.9317446037333454,1.1701694321927143,1714,2613.6504488512164,1583.2392417567423,1
BK-B7,4324,1.2398242368177614,1.9591457439135174,1.3392393582896265,5361,8471.346196682049,5790.870985244345,2
BK-C7,4129,1.3199321869702108,1.9399010691849154,1.596368794706295,5450,8009.851514664516,6591.406753342292,2
BK-C9,8015,1.7140361821584529,1.9431710576335435,1.3165677620090057,13738,15574.516026932852,10552.29061250218,2
BK-G7,7477,1.385448709375418,2.004259322899133,1.3098002449114203,10359,14985.846957316817,9793.37643120269,2
EM-B1,3479,1.3058350100603622,2.044067624121992,1.8397851101710732,4543,7111.3112643204095,6400.612398285163,2
EM-D2,3896,1.2263860369609856,2.0309310686625417,1.2423699199481488,4778,7912.507443509262,4840.273208117987,2
GGP-L1.5,537,1.4878957169459963,2.0770901571044424,2.1332137289047717,799,1115.3974143650855,1145.5357724218625,2
L1.11,323,1.256965944272446,2.0991639551829477,1.445246146132248,406,678.0299575240921,466.81450520071616,2
OK-B3,2275,1.1692307692307693,2.0392300388372187,1.5342276938657502,2660,4639.248338354672,3490.368003544582,2
OK-C2,3482,1.1883974727168294,1.9240956087863947,1.3083068627822416,4138,6699.700909794226,4555.524496207765,2
OK-D2,4504,1.2073712255772646,1.9883415642519509,1.539917737082525,5438,8955.490405390787,6935.789487819692,2
OK-G4,2342,1.2006831767719897,1.9732499617593438,1.2744792451852713,2812,4621.351410440383,2984.8303922239056,2
OK-H2-2,673,1.0817236255572065,1.9983127451854383,1.8351212718417924,728,1344.8644775098,1235.0366159495263,2
OK-H4-3,2714,1.1120117907148122,1.979151616468907,1.1399082428324663,3018,5371.4174870966135,3093.7109710473133,2
OK-H9-1,6096,1.29002624671916,1.9500967577275155,1.2135739463285917,7864,11887.789835106934,7397.946776819095,2
OK-J6-1,9538,1.462780457118893,1.9637390080329353,1.2755371314407045,13952,18730.142658618137,12166.073159681438,2
OK-K17,341,1.06158357771261,1.9663311469810796,1.282534461290588,362,670.5189211205482,437.34425130009055,2
OK-L1,3957,1.1726055092241596,1.9794210046907004,1.245687891770409,4640,7832.568915561102,4929.186987735508,2
OK-L5,7896,1.4561803444782169,1.9480249195925654,1.739056820139014,11498,15381.604765102897,13731.592651817655,2
